timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore,returns,log_returns,ma_5,ma_5_slope,ma_10,ma_10_slope,ma_20,ma_20_slope,ma_50,ma_50_slope,ma_100,ma_100_slope,ma_200,ma_200_slope,volatility_10,volatility_20,volatility_50,high_20,low_20,price_position,rsi,macd,macd_signal,macd_histogram,bb_middle,bb_upper,bb_lower,bb_position,volume_ma_10,volume_ratio,volume_price_trend,body_size,upper_wick,lower_wick,total_range,body_ratio,buy_pressure,sell_pressure,trade_intensity,hour,day_of_week,month,quarter,gap_up,gap_down
2024-07-10 07:00:00,3110.42,3111.82,3088.12,3097.08,7597.9871,1720598399999,23556402.389162,35133.0,2820.2586,8742657.342736,0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,13.340000000000146,1.400000000000091,8.960000000000036,23.700000000000273,0.5628691983122359,0.3711849681871663,0.6288150318128337,4.623987845412373,7,2,7,3,False,False
2024-07-10 08:00:00,3097.07,3099.82,3079.41,3087.52,6769.323,1720601999999,20903383.569862,44679.0,2846.139,8788689.748447,0,-0.003086778513955113,-0.003091552441321055,,,,,,,,,,,,,,,,,,,,-0.7626210826210809,-0.1525242165242162,-0.6100968660968646,,,,,,,-20.89540079042217,9.550000000000182,2.75,8.110000000000127,20.41000000000031,0.4679078882900557,0.42044662368747954,0.5795533763125205,6.6002168902266884,8,2,7,3,False,False
2024-07-10 09:00:00,3087.52,3091.13,3078.43,3088.22,6264.3282,1720605599999,19323307.140975,40879.0,2947.178,9091596.075405,0,0.00022671917914696138,0.00022669348223777958,,,,,,,,,,,,,,,,,,,,-1.295584938434331,-0.38113636090623915,-0.9144485775280918,,,,,,,1.4202433474111622,0.6999999999998181,2.9100000000003092,9.090000000000146,12.700000000000273,0.05511811023620496,0.47046992205804283,0.5295300779419572,6.525679800748626,9,2,7,3,False,False
2024-07-10 10:00:00,3088.33,3109.1,3081.57,3103.01,8959.0679,1720609199999,27760120.156246,39303.0,4697.4234,14551773.931434,0,0.004789166574920234,0.004777735000625393,,,,,,,,,,,,,,,,,,,,-0.5185556523792911,-0.40862021920084957,-0.10993543317844157,,,,,,,42.906468529120815,14.680000000000291,6.089999999999691,6.7599999999997635,27.529999999999745,0.5332364693062269,0.5243205490160421,0.47567945098395786,4.386951906012455,10,2,7,3,False,False
2024-07-10 11:00:00,3102.96,3106.34,3088.89,3102.22,5646.5012,1720612799999,17502879.375612,39464.0,2511.0879,7785338.242916,0,-0.0002545915095344409,-0.00025462392345446035,3095.6099999999997,,,,,,,,,,,,,,,,,,,0.0331174993998502,-0.32027267548070965,0.35339017488055985,,,,,,,-1.4375512640960317,0.7400000000002365,3.380000000000109,13.329999999999927,17.450000000000273,0.04240687679084383,0.444715729450301,0.555284270549699,6.989106811843058,11,2,7,3,False,False
2024-07-10 12:00:00,3102.22,3112.86,3077.76,3109.79,14665.6973,1720616399999,45397379.020513,70429.0,7962.6842,24649467.635773,0,0.0024401879944040417,0.0024372155702138873,3098.152,2.542000000000371,,,,,,,,,,,,,,,,,,1.068837290686588,-0.042450682247250154,1.111287972933838,,,,,,,35.78705848102377,7.570000000000164,3.0700000000001637,24.45999999999958,35.09999999999991,0.2156695156695209,0.5429461714036604,0.4570538285963396,4.8022946716621515,12,2,7,3,False,False
2024-07-10 13:00:00,3109.79,3121.95,3091.31,3106.25,22345.8095,1720619999999,69419722.725368,85344.0,11880.1188,36910721.590323,0,-0.0011383405310326777,-0.0011389889327296351,3101.898,3.7460000000000946,,,,,,,,,,,,,,,,,,1.585725021287999,0.2831844584597997,1.3025405628281992,,,,,,,-25.437140652585054,3.5399999999999636,12.159999999999854,14.940000000000055,30.639999999999873,0.11553524804177474,0.531648620740278,0.46835137925972203,3.8192395759929845,13,2,7,3,False,False
2024-07-10 14:00:00,3106.27,3120.4,3092.67,3100.77,19415.6904,1720623599999,60370748.448447,70155.0,8917.7751,27735311.954092,0,-0.0017641851106640072,-0.00176574311789477,3104.4080000000004,2.5100000000002183,,,,,,,,,,,,,,,,,,1.5354721034254908,0.533641987452938,1.001830115972553,,,,,,,-34.2528719169421,5.5,14.13000000000011,8.099999999999909,27.730000000000018,0.1983411467724485,0.4593076484161491,0.5406923515838509,3.6133147240543146,14,2,7,3,False,False
2024-07-10 15:00:00,3100.78,3129.61,3090.0,3122.76,21221.3814,1720627199999,66033413.209346,103633.0,12844.3797,39960703.287358,0,0.007091786878743012,0.007066758419507235,3108.358,3.949999999999818,,,,,,,,,,,,,,,,,,3.232789935830624,1.0734715771284753,2.1593183587021487,,,,,,,150.497514161321,21.980000000000018,6.849999999999909,10.7800000000002,39.61000000000013,0.5549103761676331,0.6052565315093013,0.3947434684906987,4.883423847233621,15,2,7,3,False,False
2024-07-10 16:00:00,3122.76,3151.51,3114.32,3120.01,24356.3301,1720630799999,76372415.759465,88203.0,12725.2765,39919760.865792,0,-0.0008806312364703084,-0.0008810192199546061,3111.916,3.5579999999999927,3103.763,,,,,,,,,,,,,,,,,4.3063832240586635,1.7200539065145128,2.5863293175441506,,,,,13724.211609999998,1.7746979420116944,-21.44894509184199,2.75,28.75,5.690000000000055,37.190000000000055,0.07394460876579714,0.5224628032118845,0.47753719678811546,3.6213583753325795,16,2,7,3,False,False
