timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore,returns,log_returns,ma_5,ma_5_slope,ma_10,ma_10_slope,ma_20,ma_20_slope,ma_50,ma_50_slope,ma_100,ma_100_slope,ma_200,ma_200_slope,volatility_10,volatility_20,volatility_50,high_20,low_20,price_position,rsi,macd,macd_signal,macd_histogram,bb_middle,bb_upper,bb_lower,bb_position,volume_ma_10,volume_ratio,volume_price_trend,body_size,upper_wick,lower_wick,total_range,body_ratio,buy_pressure,sell_pressure,trade_intensity,hour,day_of_week,month,quarter,gap_up,gap_down,trend_short,trend_long,vol_regime,market_regime
2024-08-02,65354.02,65596.14,61230.01,61498.33,38820.42937,1722643199999,2469588785.6981573,2457735.0,18202.35794,1158565579.090291,0,-0.05899698289408972,-0.06080893312569105,64890.60800000001,-1350.3099999999977,65968.336,-443.7679999999964,65687.93149999999,114.71549999999115,,,,,,,0.02455432792599384,0.026736631132583406,,70079.99,59194.01,0.21167777269478716,33.236029835409,1230.3459862818781,1924.218175059061,-693.8721887771828,65687.93149999999,69793.87754395176,61581.98545604822,-0.010187110979142813,28161.995318999998,1.3784687104116198,-2290.288207483108,3855.689999999995,242.12000000000262,268.3199999999997,4366.129999999997,0.883090975303071,0.468886053951443,0.531113946048557,63.310350758235316,0,4,8,3,False,False,-1,-1,high_vol,bear_volatile
2024-08-03,61498.34,62198.22,59850.0,60697.99,28034.71567,1722729599999,1711555901.18011,1669555.0,12947.95791,790701622.6375737,0,-0.013014011925201907,-0.013099436128860992,63673.268000000004,-1217.3400000000038,65500.534999999996,-467.8009999999995,65682.93549999999,-4.995999999999185,,,,,,,0.024633175818202138,0.026283794012889612,,70079.99,59850.0,0.082892554147169,29.504419519315604,780.8980049133679,1695.5541410299224,-914.6561361165545,65682.93549999999,69814.10006253133,61551.770937468646,-0.10333417182315041,28657.210609,0.9782778949600733,-364.8441240490248,800.3499999999985,699.8800000000047,847.989999999998,2348.220000000001,0.3408326306734455,0.4618544401310134,0.5381455598689866,59.55312761693509,0,5,8,3,False,False,-1,-1,high_vol,bear_volatile
2024-08-04,60697.99,61117.63,57122.77,58161.0,31616.52003,1722815999999,1874490041.5437353,1886195.0,14556.6247,863334319.9678984,0,-0.04179693594466638,-0.04269555681819708,62067.868,-1605.4000000000015,64736.64,-763.8949999999968,65354.77849999999,-328.15699999999924,,,,,,,0.02634284329831264,0.023157013111033277,,70079.99,57122.77,0.08012752735540514,20.963399569980382,217.4863043549849,1399.940573694935,-1182.45426933995,65354.77849999999,70677.46989628192,60032.087103718055,-0.17576513124779952,28306.219678,1.1169460418825483,-1321.4736624871716,2536.989999999998,419.6399999999994,1038.2300000000032,3994.8600000000006,0.6350635566703208,0.460411983551246,0.539588016448754,59.658526561754556,0,6,8,3,False,False,-1,-1,high_vol,bear_volatile
2024-08-05,58161.0,58305.59,49000.0,54018.81,162065.59186,1722902399999,8580928177.429901,7568497.0,77363.26323,4097736999.0679235,0,-0.07121937380719046,-0.07388270778154322,59946.030000000006,-2121.837999999996,63347.721999999994,-1388.9180000000051,64803.519499999995,-551.2589999999982,,,,,,,0.027402074556797964,0.027312495971788624,,70079.99,49000.0,0.23808407878751348,17.41605653554838,-556.8427066734366,1008.5839176212608,-1565.4266242946974,64803.519499999995,72157.74950677906,57449.28949322093,-0.23323172446733023,42088.342841,3.850605201355782,-11542.209967960902,4142.190000000002,144.5899999999965,5018.809999999998,9305.589999999997,0.44512921802916355,0.4773577311637506,0.5226422688362494,46.700208928604845,0,0,8,3,False,False,-1,-1,high_vol,bear_volatile
2024-08-06,54018.82,57040.99,53950.0,56022.01,55884.77676,1722988799999,3119018848.329888,3433824.0,27934.19288,1559417942.6490836,0,0.03708337891930613,0.03641232998749407,58079.628000000004,-1866.4020000000019,62160.273,-1187.4489999999932,64400.220499999996,-403.29899999999907,,,,,,,0.03275106064264562,0.02912628853216759,,70079.99,49000.0,0.33311258686555356,26.555087739876427,-997.3655192264923,607.3940302517101,-1604.7595494782024,64400.220499999996,72738.49301047646,56061.94798952353,-0.002394859934917324,44505.79859599999,1.2556740587286688,2072.396352411913,2003.1900000000023,1018.9799999999959,68.81999999999971,3090.989999999998,0.6480739180650871,0.49985335004494696,0.500146649955053,61.44471176375511,0,1,8,3,False,False,-1,-1,high_vol,bear_volatile
2024-08-07,56022.0,57736.05,54558.62,55134.16,44269.37684,1723075199999,2490553853.602583,2397504.0,21897.14983,1232415104.4472857,0,-0.01584823536320812,-0.015975161468007117,56806.79400000001,-1272.8339999999953,60848.701,-1311.5720000000001,63957.53250000001,-442.68799999998737,,,,,,,0.03171483291852448,0.02917926914458461,,70079.99,49000.0,0.2909944454432854,26.14961934738082,-1401.9641271329965,205.52239877476882,-1607.4865259077653,63957.53250000001,73271.05043289931,54644.0145671007,0.026313657010736177,47845.866886,0.9252497597227879,-701.5915035428744,887.8399999999965,1714.050000000003,575.5400000000009,3177.4300000000003,0.2794207897577591,0.4946342459064079,0.5053657540935921,54.1571662204586,0,2,8,3,False,False,-1,-1,high_vol,bear_volatile
2024-08-08,55133.76,62745.14,54730.0,61685.99,48349.52949,1723161599999,2836312292.431818,2603042.0,25676.29533,1508140014.0005167,0,0.11883431252058596,0.11228735091416127,57004.39400000001,197.59999999999854,60338.83099999999,-509.8700000000099,63708.83200000001,-248.700499999999,,,,,,,0.05430372442555958,0.03929522595945876,,70079.99,49000.0,0.6018024676482292,42.54687686828098,-1180.3274338730407,-71.6475677547931,-1108.6798661182477,63708.83200000001,72984.06459265541,54433.599407344605,0.39095464831783305,49034.090202,0.9860390860892922,5745.5830976379475,6552.229999999996,1059.1500000000015,403.76000000000204,8015.139999999999,0.8174816659471945,0.531055743475447,0.46894425652455296,53.83800064772874,0,3,8,3,False,False,-1,-1,high_vol,bear_volatile
2024-08-09,61686.0,61744.37,59535.0,60837.99,30972.48017,1723247999999,1878350555.5122633,1827809.0,15023.05073,911225295.6263436,0,-0.013747043696631933,-0.013842409307287744,57539.792,535.3979999999938,59803.829999999994,-535.0009999999966,63393.73350000001,-315.09850000000006,,,,,,,0.05434779491190078,0.03928387843093285,,70079.99,49000.0,0.5615747445800494,36.578766127311496,-1060.8761507335003,-269.49328435053457,-791.3828663829656,63393.73350000001,72606.14579588882,54181.3212041112,0.36128804172493706,49818.112777999995,0.6217112299701094,-425.78003829005604,848.010000000002,58.37000000000262,1302.989999999998,2209.3700000000026,0.38382434811733707,0.4850451319217037,0.5149548680782963,59.01396949703818,0,4,8,3,False,False,-1,-1,high_vol,bear_volatile
2024-08-10,60837.99,61470.58,60242.0,60923.51,9995.20621,1723334399999,607372221.2460397,800499.0,4893.63854,297435046.0025079,0,0.0014057006156844576,0.001404713543484379,58920.732,1380.9400000000023,59433.380999999994,-370.4490000000005,63031.64200000001,-362.09150000000227,,,,,,,0.05408027299991237,0.03904372489297385,,70079.99,49000.0,0.5656316725007934,36.8000245334759,-948.3770981229318,-405.27004710501404,-543.1070510179177,63031.64200000001,72020.95889848417,54042.325101515846,0.3827423694254514,48555.089494,0.20585290469364942,14.050267523290115,85.52000000000407,547.0699999999997,595.989999999998,1228.5800000000017,0.06960881668267753,0.489598557266784,0.5104014427332161,80.08829264564017,0,5,8,3,False,False,-1,-1,high_vol,bear_volatile
2024-08-11,60923.51,61858.0,58286.73,58712.59,19189.84512,1723420799999,1152081498.1567774,1319469.0,9094.74521,546165456.9550736,0,-0.03629009556409346,-0.036964958668207114,59458.848,538.1159999999945,58769.238,-664.1429999999964,62590.670999999995,-440.9710000000123,,,,,,,0.05461904604645959,0.03966552460727912,,70079.99,49000.0,0.4607492698051562,33.13203937824787,-1025.798785130355,-529.3757947100823,-496.42299042027275,62590.670999999995,71515.49063866682,53665.851361333174,0.28273616963651593,46919.847151999995,0.4089920638026209,-696.4013132649526,2210.9200000000055,934.489999999998,425.8599999999933,3571.269999999997,0.6190850873778817,0.473935310740017,0.5260646892599831,68.75871023184162,0,6,8,3,False,False,-1,-1,high_vol,bear_volatile
