timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore,returns,log_returns,ma_5,ma_5_slope,ma_10,ma_10_slope,ma_20,ma_20_slope,ma_50,ma_50_slope,ma_100,ma_100_slope,ma_200,ma_200_slope,volatility_10,volatility_20,volatility_50,high_20,low_20,price_position,rsi,macd,macd_signal,macd_histogram,bb_middle,bb_upper,bb_lower,bb_position,volume_ma_10,volume_ratio,volume_price_trend,body_size,upper_wick,lower_wick,total_range,body_ratio,buy_pressure,sell_pressure,trade_intensity,hour,day_of_week,month,quarter,gap_up,gap_down,trend_short,trend_long,vol_regime,market_regime
2024-11-14,5.072,5.216,4.686,4.775,13094082.94,1731628799999,65075478.51789,217531.0,6108952.04,30333515.45227,0,-0.05874236152178203,-0.060538384651859414,5.2214,0.028999999999999915,4.7191,0.1023000000000005,4.35905,0.03894999999999982,4.327439999999999,0.0027599999999994296,4.36301,0.002660000000000551,,,0.06719178756920136,0.05164772239309434,0.03983637366324349,5.839,3.665,0.5105795768169273,63.16129032258065,0.23896859680795401,0.12430470081649225,0.11466389599146176,4.35905,5.496603510597926,3.2214964894020737,0.6828265642560265,15712917.763,0.8333323662415708,-769177.3538576785,0.2969999999999997,0.14400000000000013,0.08900000000000041,0.5300000000000002,0.5603773584905652,0.4665429467640137,0.5334570532359862,0.016612923638621768,0,3,11,4,False,False,1,-1,high_vol,sideways_volatile
2024-11-15,4.777,5.174,4.704,5.161,10257406.37,1731715199999,50852669.1984,159210.0,5321253.78,26391556.04845,0,0.08083769633507831,0.07773638523389632,5.2054,-0.016000000000000014,4.8497,0.13060000000000027,4.41535,0.05630000000000024,4.3343799999999995,0.006940000000000168,4.36883,0.005819999999999936,,,0.06937036327123476,0.05400871405395819,0.04107877279076182,5.839,3.665,0.6881324747010117,68.23871906841339,0.2558798419420416,0.15061972904160215,0.10526011290043946,4.41535,5.596014803806462,3.2346851961935386,0.8157754841154005,16403870.704,0.6253040245860255,829185.1013235579,0.38399999999999945,0.013000000000000789,0.0730000000000004,0.47000000000000064,0.8170212765957424,0.5187718598692899,0.4812281401307102,0.015521467538387096,0,4,11,4,False,False,1,-1,high_vol,sideways_volatile
2024-11-16,5.16,5.803,5.132,5.787,17564833.99,1731801599999,96363431.62348,305408.0,9029433.98,49481620.09356,0,0.121294322805658,0.11448366342511178,5.2208,0.015399999999999636,5.0173,0.1675999999999993,4.4983,0.0829500000000003,4.35248,0.01810000000000045,4.37791,0.009079999999999977,,,0.07440693992852773,0.059125918772450624,0.044376915492911145,5.839,3.665,0.9760809567617293,73.13469588771238,0.3161507053155628,0.18372592429639428,0.1324247810191685,4.4983,5.818793862956299,3.177806137043702,0.9879613742069504,17221239.916,1.0199517616429448,2130514.6440108535,0.6269999999999998,0.016000000000000014,0.02800000000000047,0.6710000000000003,0.934426229508196,0.5140631551166742,0.4859368448833258,0.01738746863043936,0,5,11,4,False,False,1,-1,high_vol,sideways_volatile
2024-11-17,5.786,6.147,5.304,5.424,18374242.79,1731887999999,104089789.93016,306019.0,9335247.08,52975854.72507,0,-0.0627268014515292,-0.06478047195360717,5.244,0.02320000000000011,5.1434,0.1261000000000001,4.5629,0.06459999999999955,4.365080000000001,0.012600000000000833,4.38432,0.006409999999999805,,,0.0807229564983578,0.06178397352302485,0.045278001714423914,6.147,3.665,0.7087026591458502,69.06976744186048,0.33081134521999633,0.2131430084811147,0.11766833673888163,4.5629,5.93340707481036,3.1923929251896404,0.8141537960025317,18349987.231,1.001321829748144,-1152557.4793105219,0.3619999999999992,0.36100000000000065,0.1200000000000001,0.843,0.42941874258600143,0.5080615939765756,0.4919384060234245,0.01665478156011674,0,6,11,4,False,False,1,-1,high_vol,sideways_volatile
2024-11-18,5.425,6.1,5.392,6.008,16117811.2,1731974399999,93810676.61151,289912.0,8099798.12,47169943.58549,0,0.10766961651917395,0.1022583638237391,5.431,0.18700000000000028,5.3117,0.16830000000000034,4.653650000000001,0.09075000000000077,4.3899,0.024819999999999176,4.39686,0.01254000000000044,,,0.084438750861534,0.06513066788778606,0.047590135118250006,6.147,3.665,0.9439967767929088,73.24814509480628,0.3851145662822164,0.24753732004133505,0.13757724624088136,4.653650000000001,6.155133655728907,3.1521663442710945,0.9510039103098062,18816908.852999996,0.8565599868668292,1735398.5510324468,0.5830000000000002,0.09199999999999964,0.032999999999999474,0.7079999999999993,0.8234463276836169,0.502537101315593,0.49746289868440696,0.017987057696767166,0,0,11,4,False,False,1,-1,high_vol,sideways_volatile
2024-11-19,6.008,6.044,5.659,5.805,9028491.8,1732060799999,52790110.77118,184668.0,4365262.71,25529737.14099,0,-0.033788282290279636,-0.03437229931197881,5.6370000000000005,0.2060000000000004,5.4292,0.11749999999999972,4.73435,0.08069999999999933,4.4173599999999995,0.027459999999999596,4.409960000000001,0.013100000000000556,,,0.08620214726525954,0.06610343769263075,0.04667194407721693,6.147,3.665,0.8622078968573729,69.68901453957997,0.40707732276934294,0.27944532058693666,0.12763200218240628,4.73435,6.303121866276624,3.1655781337233764,0.8412382714833855,18869390.146,0.4784728987075341,-305057.22959387494,0.2030000000000003,0.03599999999999959,0.1459999999999999,0.3849999999999998,0.5272727272727283,0.48349855177361956,0.5165014482263804,0.02045391457297441,0,1,11,4,False,False,1,-1,high_vol,sideways_volatile
2024-11-20,5.805,6.08,5.532,5.724,13729161.22,1732147199999,80475104.06708,260709.0,6738716.99,39511050.36412,0,-0.013953488372092981,-0.014051753455650302,5.7496,0.11259999999999959,5.477500000000001,0.04830000000000112,4.8225999999999996,0.0882499999999995,4.44876,0.03140000000000054,4.42132,0.011359999999998927,,,0.07828311132174395,0.06429419948052158,0.045696128128825696,6.147,3.665,0.8295729250604351,66.88298095038729,0.41318401434450625,0.3061930593384506,0.10699095500605565,4.8225999999999996,6.4062295951821655,3.2389704048178336,0.7845993794073771,16691868.988999998,0.8225059296264288,-191569.6914418599,0.08099999999999952,0.27500000000000036,0.19200000000000017,0.548,0.1478102189781013,0.49083238822946823,0.5091676117705317,0.01898943393717391,0,2,11,4,False,False,1,-1,high_vol,sideways_volatile
2024-11-21,5.724,5.968,5.473,5.93,13681255.17,1732233599999,78622761.50223,242691.0,6761759.99,38854334.03328,0,0.03598881900768691,0.035356351315429586,5.7782,0.02859999999999996,5.4995,0.021999999999999353,4.923699999999999,0.10109999999999975,4.48532,0.036559999999999704,4.43515,0.013830000000000453,,,0.07407959476412967,0.06388562228400031,0.04577890474550732,6.147,3.665,0.9125705076551166,67.9172581626445,0.4296928580077308,0.3308930190723066,0.09879983893542421,4.923699999999999,6.51960661908587,3.3277933809141285,0.8152753387840466,15896888.145,0.8606247364395732,492372.2161111108,0.20599999999999952,0.038000000000000256,0.25100000000000033,0.4950000000000001,0.4161616161616151,0.494235353845827,0.5057646461541729,0.017738942588554907,0,3,11,4,False,False,1,-1,high_vol,sideways_volatile
2024-11-22,5.932,6.687,5.878,6.63,21148336.67,1732319999999,131792163.51566,374669.0,10701830.66,66796274.97874,0,0.11804384485666097,0.11158059118813698,6.019399999999999,0.2411999999999992,5.6317,0.1322000000000001,5.0598,0.13610000000000078,4.53534,0.05001999999999995,4.45762,0.022470000000000212,,,0.07636428832562925,0.067028734735829,0.04833146423750053,6.687,3.665,0.9811383189940436,71.0733223624063,0.493570808364872,0.3634285769308197,0.1301422314340523,5.0598,6.752335264345362,3.367264735654638,0.9638603499370281,15318685.868999999,1.3805581530199862,2496430.9728499143,0.6979999999999995,0.057000000000000384,0.05400000000000027,0.8090000000000002,0.8627935723114949,0.5060365184738663,0.4939634815261337,0.01771623961951992,0,4,11,4,False,False,1,-1,high_vol,sideways_volatile
2024-11-23,6.631,9.432,6.585,8.515,60359355.47,1732406399999,488516161.67068,1229537.0,29830081.32,241563846.69399,0,0.2843137254901962,0.25022450991688056,6.5207999999999995,0.5014000000000003,5.9759,0.34419999999999984,5.29635,0.23655000000000026,4.62176,0.08642000000000039,4.5,0.04237999999999964,,,0.10755281909483647,0.08643734130707836,0.06192444441690455,9.432,3.679,0.8406049017903703,77.55710029791462,0.6883632673812654,0.4284155150209089,0.2599477523603565,5.29635,7.48718413818861,3.1055158618113907,1.234571810776418,19335497.762000002,3.121686144983765,17160993.221862752,1.8840000000000003,0.9169999999999998,0.04600000000000026,2.8470000000000004,0.6617492096944152,0.4942080823713607,0.5057919176286393,0.02037028047145249,0,5,11,4,False,False,1,-1,high_vol,sideways_volatile
